version,released,characters
1.0,October 1991, 7094
1.0.1,June 1992, 28292
1.1,June 1993, 34168
2.0,July 1996, 38885
2.1,May 1998, 38887
3.0,September 1999, 49194
3.1,March 2001, 94140
3.2,March 2002, 95156
4.0,April 2003, 96382
4.1,"March 31, 2005", 97655
5.0,"July 14, 2006", 99024
5.1,"April 4, 2008", 100648
5.2,"October 1, 2009", 107296
6.0,"October 11, 2010", 109384
6.1,"January 31, 2012", 110116
6.2,"September 26, 2012", 110117
6.3,"September 30, 2013", 110122
7.0,"June 16, 2014", 112956
8.0,"June 17, 2015", 120672
9.0,"June 21, 2016", 128172
10.0,"June 20, 2017", 136690
11.0,"June 5, 2018", 137374
12.0,"March 5, 2019", 137928
12.1,"May 7, 2019", 137929
13.0,"March 10, 2020", 143859
14.0,"September 14, 2021", 144697
15.0,"September 13, 2022", 149186
15.1,"September 12th, 2023", 149813
16.0,"September 10th, 2024", 154998
17.0,"September 9th, 2025", 159801